DOP, Force
-0.00474121, 0
-0.00474121, 0
-0.00474121, 0
-0.00474121, 0
-0.00474121, 0
-0.00474121, 0
-0.00474121, 0
-0.00426992, 0
-0.00426992, 0
-0.00426992, 0
-0.00426992, 0
-0.00426992, 0
-0.0038408, 0
-0.0038408, 0
-0.0038408, 0
-0.0038408, 0
-0.0038408, 0
-0.00337932, 0
-0.00337932, 0
-0.00337932, 0
-0.00337932, 0
-0.00337932, 0
-0.00337932, 0
-0.0029755, 0
-0.0029755, 0
-0.0029755, 0
-0.0029755, 0
-0.0029755, 0
-0.00265048, 0
-0.00265048, 0
-0.00265048, 0
-0.00265048, 0
-0.00265048, 0
-0.00229562, 0
-0.00229562, 0
-0.00229562, 0
-0.00229562, 0
-0.00229562, 0
-0.00192193, 0
-0.00192193, 0
-0.00192193, 0
-0.00192193, 0
-0.00192193, 0
-0.00158033, 0
-0.00158033, 0
-0.00158033, 0
-0.00158033, 0
-0.00158033, 0
-0.00158033, 0
-0.00126133, 0
-0.00126133, 0
-0.00126133, 0
-0.00126133, 0
-0.00126133, 0
-0.000962677, 0
-0.000962677, 0
-0.000962677, 0
-0.000962677, 0
-0.000962677, 0
-0.000641198, 0
-0.000641198, 0
-0.000641198, 0
-0.000641198, 0
-0.000641198, 0
-0.000348954, 0
-0.000348954, 0
-0.000348954, 0
-0.000348954, 0
-0.000348954, 0
-7.72737e-05, 0
-7.72737e-05, 0
-7.72737e-05, 0
-7.72737e-05, 0
-7.72737e-05, 0
0.000177182, 0.00399333
0.000177182, 0.00399333
0.000177182, 0.00399333
0.000177182, 0.00399333
0.000177182, 0.00399333
0.000177182, 0.00399333
0.000417153, 0.00748755
0.000417153, 0.00748755
0.000417153, 0.00748755
0.000417153, 0.00748755
0.000417153, 0.00748755
0.000645621, 0.0111328
0.000645621, 0.0111328
0.000645621, 0.0111328
0.000645621, 0.0111328
0.000645621, 0.0111328
0.000821221, 0.0139905
0.000821221, 0.0139905
0.000821221, 0.0139905
0.000821221, 0.0139905
0.000821221, 0.0139905
0.00104081, 0.0175897
0.00104081, 0.0175897
0.00104081, 0.0175897
0.00104081, 0.0175897
0.00104081, 0.0175897
0.00120586, 0.0203197
0.00120586, 0.0203197
0.00120586, 0.0203197
0.00120586, 0.0203197
0.00120586, 0.0203197
0.00132996, 0.0223744
0.00132996, 0.0223744
0.00132996, 0.0223744
0.00132996, 0.0223744
0.00132996, 0.0223744
0.00132996, 0.0223744
0.00150612, 0.0252818
0.00150612, 0.0252818
0.00150612, 0.0252818
0.00150612, 0.0252818
0.00150612, 0.0252818
0.00163133, 0.0273673
0.00163133, 0.0273673
0.00163133, 0.0273673
0.00163133, 0.0273673
0.00163133, 0.0273673
0.00172303, 0.0288961
0.00172303, 0.0288961
0.00172303, 0.0288961
0.00172303, 0.0288961
0.00172303, 0.0288961
0.00178866, 0.029995
0.00178866, 0.029995
0.00178866, 0.029995
0.00178866, 0.029995
0.00178866, 0.029995
0.00183227, 0.0307327
0.00183227, 0.0307327
0.00183227, 0.0307327
0.00183227, 0.0307327
0.00183227, 0.0307327
0.00185868, 0.0311888
0.00185868, 0.0311888
0.00185868, 0.0311888
0.00185868, 0.0311888
0.00185868, 0.0311888
0.00187019, 0.0314016
0.00187019, 0.0314016
0.00187019, 0.0314016
0.00187019, 0.0314016
0.00187019, 0.0314016
0.00187019, 0.0314016
0.00186599, 0.0313578
0.00186599, 0.0313578
0.00186599, 0.0313578
0.00186599, 0.0313578
0.00186599, 0.0313578
0.00185172, 0.03115
0.00185172, 0.03115
0.00185172, 0.03115
0.00185172, 0.03115
0.00185172, 0.03115
0.00182806, 0.0307909
0.00182806, 0.0307909
0.00182806, 0.0307909
0.00182806, 0.0307909
0.00182806, 0.0307909
0.00179707, 0.0303132
0.00179707, 0.0303132
0.00179707, 0.0303132
0.00179707, 0.0303132
0.00179707, 0.0303132
0.00176152, 0.0297621
0.00176152, 0.0297621
0.00176152, 0.0297621
0.00176152, 0.0297621
0.00176152, 0.0297621
0.00172162, 0.0291422
0.00172162, 0.0291422
0.00172162, 0.0291422
0.00172162, 0.0291422
0.00172162, 0.0291422
0.00167811, 0.0284654
0.00167811, 0.0284654
0.00167811, 0.0284654
0.00167811, 0.0284654
0.00167811, 0.0284654
0.00167811, 0.0284654
0.00162993, 0.0277152
0.00162993, 0.0277152
0.00162993, 0.0277152
0.00162993, 0.0277152
0.00162993, 0.0277152
0.0016228, 0.0276104
0.0016228, 0.0276104
0.0016228, 0.0276104
0.0016228, 0.0276104
0.0016228, 0.0276104
0.0016051, 0.0273451
0.0016051, 0.0273451
0.0016051, 0.0273451
0.0016051, 0.0273451
0.0016051, 0.0273451
0.00162445, 0.027658
0.00162445, 0.027658
0.00162445, 0.027658
0.00162445, 0.027658
0.00162445, 0.027658
0.00166957, 0.028383
0.00166957, 0.028383
0.00166957, 0.028383
0.00166957, 0.028383
0.00166957, 0.028383
0.00177787, 0.0301118
0.00177787, 0.0301118
0.00177787, 0.0301118
0.00177787, 0.0301118
0.00177787, 0.0301118
0.00189391, 0.0319841
0.00189391, 0.0319841
0.00189391, 0.0319841
0.00189391, 0.0319841
0.00189391, 0.0319841
0.00189391, 0.0319841
0.00197638, 0.0333305
0.00197638, 0.0333305
0.00197638, 0.0333305
